wheel-base,length,width,height,price
97.3,171.7,65.5,55.7,8195
97.3,171.7,65.5,55.7,8495
97.3,171.7,65.5,55.7,9495
97.3,171.7,65.5,55.7,9995
94.5,159.3,64.2,55.6,11595
94.5,165.7,64,51.4,9980
100.4,180.2,66.9,55.1,13295
100.4,180.2,66.9,55.1,13845
100.4,183.1,66.9,55.1,12290
104.3,188.8,67.2,56.2,12940
104.3,188.8,67.2,57.5,13415
104.3,188.8,67.2,56.2,15985
104.3,188.8,67.2,57.5,16515
104.3,188.8,67.2,56.2,18420
104.3,188.8,67.2,57.5,18950
109.1,188.8,68.9,55.5,16845
109.1,188.8,68.8,55.5,19045
109.1,188.8,68.9,55.5,21485
109.1,188.8,68.9,55.5,22470
109.1,188.8,68.9,55.5,22625
